waterpoint_id,district,source_type,power_source,management,age_years,depth_m,static_water_level_m,gw_trend_m_per_year,rainfall_mm_12mo,households_served,population_served,duty_cycle,water_tds_ppm,iron_ppm,chloride_ppm,distance_to_workshop_km,road_access_score,days_since_service,has_tariff,caretaker_trained,failures_past_24mo,mean_repair_delay_days,uptime_pct_12mo,handle_effort_index,season_month,failure_next_90d
WP-000001,Jaisalmer,handpump_mk3,handpump,village_water_committee,5.2,136.5,102.0,0.6,229.0,67,381,1.679,1959.0,0.33,842.0,15.8,4.5,134,0,0,2,4.7,89.8,10.0,6,0
WP-000002,Bhilwara,handpump_india_mk2,handpump,private_operator,3.0,65.2,34.4,0.67,522.0,34,214,0.791,1670.0,0.81,535.0,9.3,8.2,91,1,1,0,0.5,87.2,,9,0
WP-000003,Pali,submersible_borewell,solar_pv,unmanaged,24.9,82.5,38.3,1.52,404.0,42,224,0.403,1599.0,2.82,671.0,33.3,6.7,476,0,0,4,0.5,81.9,10.0,9,1
WP-000004,Churu,handpump_india_mk2,handpump,gram_panchayat,12.4,78.1,59.7,0.83,124.0,30,152,0.885,1860.0,0.75,746.0,13.8,3.5,118,0,0,2,2.6,82.2,10.0,10,1
WP-000005,Churu,handpump_india_mk2,handpump,unmanaged,7.7,104.1,63.5,0.79,219.0,8,45,0.214,1489.0,0.16,630.0,12.5,4.2,148,0,0,1,0.5,100.0,6.47,4,0
WP-000006,Udaipur,handpump_mk3,handpump,private_operator,9.9,38.9,8.7,0.47,495.0,37,147,0.714,975.0,0.97,177.0,10.1,8.7,87,1,1,1,0.5,88.4,5.05,2,0
WP-000007,Jaisalmer,submersible_borewell,grid_electric,unmanaged,10.4,93.3,33.3,1.12,275.0,62,334,0.495,1574.0,1.34,326.0,26.4,6.9,316,0,0,1,0.5,89.0,6.32,3,0
WP-000008,Ajmer,piped_standpost,solar_pv,gram_panchayat,5.1,69.4,43.9,0.77,381.0,47,262,0.466,947.0,3.79,250.0,32.1,6.0,48,0,0,1,14.8,94.6,7.52,6,0
WP-000009,Bikaner,piped_standpost,grid_electric,village_water_committee,16.3,96.4,77.7,0.27,317.0,8,43,0.053,1921.0,0.33,721.0,25.1,6.4,29,1,0,0,8.4,98.8,9.98,8,0
WP-000010,Jaisalmer,piped_standpost,solar_pv,village_water_committee,25.7,109.4,48.0,0.88,104.0,48,242,0.217,2192.0,0.71,653.0,26.7,7.1,223,1,0,3,0.5,79.8,8.81,8,1
